"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover in Lacs","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"TATAMOTORS","EQ","21-Jan-2015","        559.20","        556.85","        558.45","        546.00","        550.45","        551.50","        551.80","    6452158","      35603.11","      96859","    3634084","         56.32"
"TATAMOTORS","EQ","22-Jan-2015","        551.50","        550.65","        568.70","        548.55","        566.10","        566.50","        562.29","    5946787","      33438.23","     107930","    2933534","         49.33"
"TATAMOTORS","EQ","23-Jan-2015","        566.50","        575.00","        591.15","        574.00","        586.10","        588.45","        582.50","    7682336","      44749.85","      92066","    3741521","         48.70"
"TATAMOTORS","EQ","27-Jan-2015","        588.45","        596.05","        607.70","        596.05","        606.00","        604.55","        601.15","    7136967","      42904.11","     196320","    4358018","         61.06"
"TATAMOTORS","EQ","28-Jan-2015","        604.55","        599.00","        599.20","        587.00","        588.05","        589.20","        592.08","    8209728","      48607.92","     104919","    5581451","         67.99"
"TATAMOTORS","EQ","29-Jan-2015","        589.20","        586.00","        600.70","        580.60","        597.00","        598.60","        594.14","    5812166","      34532.48","      85051","    3459558","         59.52"
"TATAMOTORS","EQ","30-Jan-2015","        598.60","        601.40","        604.70","        581.10","        586.40","        585.15","        588.21","    4136616","      24331.80","      86101","    2241651","         54.19"
"TATAMOTORS","EQ","02-Feb-2015","        585.15","        587.80","        595.90","        580.85","        592.25","        592.50","        587.98","    4316925","      25382.71","      88096","    2469607","         57.21"
"TATAMOTORS","EQ","03-Feb-2015","        592.50","        597.65","        612.40","        596.20","        598.15","        603.30","        604.73","    6035606","      36499.24","      96822","    2269020","         37.59"
"TATAMOTORS","EQ","04-Feb-2015","        603.30","        606.65","        606.65","        588.20","        592.00","        591.40","        594.17","    3362648","      19980.01","      47277","    1537929","         45.74"
"TATAMOTORS","EQ","05-Feb-2015","        591.40","        591.00","        602.90","        582.00","        587.60","        589.20","        593.51","    6774777","      40209.09","      89368","    2681732","         39.58"
"TATAMOTORS","EQ","06-Feb-2015","        589.20","        567.05","        572.00","        552.20","        559.95","        559.60","        559.06","   12091509","      67598.54","     138040","    6038555","         49.94"
"TATAMOTORS","EQ","09-Feb-2015","        559.60","        550.00","        554.45","        541.30","        542.80","        542.65","        548.07","    4579430","      25098.70","     103468","    2535079","         55.36"
"TATAMOTORS","EQ","10-Feb-2015","        542.65","        544.00","        568.00","        543.35","        563.70","        564.10","        556.33","    5557625","      30918.77","     152320","    2311994","         41.60"
"TATAMOTORS","EQ","11-Feb-2015","        564.10","        567.00","        571.40","        553.35","        560.15","        558.90","        558.41","    4588336","      25621.90","      48774","    2850580","         62.13"
"TATAMOTORS","EQ","12-Feb-2015","        558.90","        562.20","        566.00","        552.50","        563.15","        561.80","        559.76","    5430678","      30399.01","      85995","    3393208","         62.48"
"TATAMOTORS","EQ","13-Feb-2015","        561.80","        562.70","        567.20","        555.00","        565.20","        565.55","        561.80","    3469320","      19490.50","      52803","    1788964","         51.57"
"TATAMOTORS","EQ","16-Feb-2015","        565.55","        569.00","        580.45","        565.50","        574.00","        574.15","        575.40","    5732125","      32982.64","      86836","    3385742","         59.07"
"TATAMOTORS","EQ","18-Feb-2015","        574.15","        572.70","        587.00","        560.65","        583.10","        584.30","        578.82","    5784461","      33481.69","      82272","    2781154","         48.08"
"TATAMOTORS","EQ","19-Feb-2015","        584.30","        586.00","        592.55","        572.10","        578.00","        576.55","        579.88","    4271131","      24767.47","      58383","    1971281","         46.15"
"TATAMOTORS","EQ","20-Feb-2015","        576.55","        579.50","        585.00","        572.25","        580.00","        579.90","        579.54","    3865784","      22403.88","      55828","    1672931","         43.28"
"TATAMOTORS","EQ","23-Feb-2015","        579.90","        582.00","        584.45","        572.05","        575.50","        574.20","        577.53","    3008142","      17372.79","      57776","    1616233","         53.73"
"TATAMOTORS","EQ","24-Feb-2015","        574.20","        577.00","        578.00","        559.95","        566.00","        564.40","        565.35","    4304190","      24333.53","     112352","    2595146","         60.29"
"TATAMOTORS","EQ","25-Feb-2015","        564.40","        566.70","        576.00","        564.00","        567.00","        568.20","        570.34","    3050026","      17395.66","     112897","    1421812","         46.62"
"TATAMOTORS","EQ","26-Feb-2015","        568.20","        570.10","        572.05","        557.35","        562.40","        560.65","        564.14","    3533029","      19931.25","     110847","    2132093","         60.35"
"TATAMOTORS","EQ","27-Feb-2015","        560.65","        567.05","        581.00","        563.50","        574.00","        575.15","        573.35","    4310800","      24715.89","      71172","    2498817","         57.97"
"TATAMOTORS","EQ","28-Feb-2015","        575.15","        576.85","        598.95","        563.80","        597.50","        593.35","        581.82","    4108469","      23903.92","      52826","    1240001","         30.18"
"TATAMOTORS","EQ","02-Mar-2015","        593.35","        597.40","        601.00","        573.10","        584.15","        585.00","        583.67","    4899347","      28596.15","      87452","    1970829","         40.23"
"TATAMOTORS","EQ","03-Mar-2015","        585.00","        582.50","        582.50","        572.00","        573.00","        574.10","        574.72","    3555077","      20431.91","      61743","    1904980","         53.58"
"TATAMOTORS","EQ","04-Mar-2015","        574.10","        581.50","        592.10","        570.10","        574.60","        574.10","        582.51","    6176534","      35978.64","     100471","    3045438","         49.31"
"TATAMOTORS","EQ","05-Mar-2015","        574.10","        576.00","        577.80","        567.70","        570.60","        570.70","        570.93","    3318912","      18948.76","      54186","    1643994","         49.53"
"TATAMOTORS","EQ","09-Mar-2015","        570.70","        571.00","        573.60","        562.00","        563.10","        565.10","        567.15","    3528212","      20010.38","      79654","    1881814","         53.34"
"TATAMOTORS","EQ","10-Mar-2015","        565.10","        567.90","        572.70","        558.70","        561.00","        560.20","        565.60","    3875591","      21920.51","      95351","    2334109","         60.23"
"TATAMOTORS","EQ","11-Mar-2015","        560.20","        561.00","        565.20","        548.20","        551.10","        550.90","        553.58","    3151043","      17443.67","      49654","    1446518","         45.91"
"TATAMOTORS","EQ","12-Mar-2015","        550.90","        554.90","        566.95","        554.30","        564.95","        563.90","        563.09","    3394342","      19113.32","      52210","    1824525","         53.75"
"TATAMOTORS","EQ","13-Mar-2015","        563.90","        565.65","        565.70","        555.10","        559.00","        558.35","        559.33","    5325356","      29786.26","      78654","    3318718","         62.32"
"TATAMOTORS","EQ","16-Mar-2015","        558.35","        559.05","        565.70","        554.25","        558.10","        556.90","        558.76","    2757396","      15407.16","      55050","    1569358","         56.91"
"TATAMOTORS","EQ","17-Mar-2015","        556.90","        564.00","        579.00","        562.40","        569.90","        571.55","        571.05","    5338621","      30486.23","      75991","    2596984","         48.65"
"TATAMOTORS","EQ","18-Mar-2015","        571.55","        570.35","        571.00","        556.50","        560.65","        560.20","        562.65","    4521120","      25438.09","      93145","    2749376","         60.81"
"TATAMOTORS","EQ","19-Mar-2015","        560.20","        565.00","        568.95","        551.25","        552.45","        553.80","        560.74","    3260146","      18281.08","      58113","    1966729","         60.33"
"TATAMOTORS","EQ","20-Mar-2015","        553.80","        548.95","        550.65","        541.00","        549.00","        547.60","        546.22","    5065418","      27668.22","     118862","    3013487","         59.49"
"TATAMOTORS","EQ","23-Mar-2015","        547.60","        548.05","        557.80","        548.05","        552.00","        551.45","        552.82","    3120391","      17250.21","      61905","    1634524","         52.38"
"TATAMOTORS","EQ","24-Mar-2015","        551.45","        551.80","        552.50","        528.40","        531.80","        532.25","        541.55","    4471090","      24213.14","      81591","    2468536","         55.21"
"TATAMOTORS","EQ","25-Mar-2015","        532.25","        535.50","        545.60","        533.50","        541.00","        541.85","        540.09","    8533721","      46090.00","     122890","    5830385","         68.32"
"TATAMOTORS","EQ","26-Mar-2015","        541.85","        530.90","        539.00","        520.80","        526.80","        524.25","        530.06","    6475129","      34322.33","      87728","    3750175","         57.92"
"TATAMOTORS","EQ","27-Mar-2015","        524.25","        525.65","        536.80","        518.15","        535.00","        535.35","        530.65","    4671141","      24787.59","      81888","    2566513","         54.94"
"TATAMOTORS","EQ","30-Mar-2015","        535.35","        536.85","        541.05","        531.35","        540.20","        540.00","        536.09","    3969941","      21282.43","      82911","    2347989","         59.14"
"TATAMOTORS","EQ","31-Mar-2015","        540.00","        540.15","        559.80","        537.60","        550.60","        550.20","        549.67","    5352135","      29418.88","     142278","    2821000","         52.71"
"TATAMOTORS","EQ","01-Apr-2015","        550.20","        549.10","        566.40","        548.00","        566.10","        564.90","        557.30","    4177702","      23282.41","      95664","    2451421","         58.68"
"TATAMOTORS","EQ","06-Apr-2015","        564.90","        563.90","        573.50","        555.35","        566.50","        568.15","        569.34","    5728358","      32613.85","     102382","    3384350","         59.08"
"TATAMOTORS","EQ","07-Apr-2015","        568.15","        569.05","        570.70","        554.05","        561.00","        560.35","        560.60","    3201751","      17949.12","      61991","    1682094","         52.54"
"TATAMOTORS","EQ","08-Apr-2015","        560.35","        565.00","        569.60","        559.20","        563.00","        561.50","        564.54","    3774897","      21310.65","      77756","    2105004","         55.76"
"TATAMOTORS","EQ","09-Apr-2015","        561.50","        562.80","        564.85","        552.25","        560.00","        559.90","        557.80","    3043135","      16974.64","      54869","    1388363","         45.62"
"TATAMOTORS","EQ","10-Apr-2015","        559.90","        558.80","        569.40","        555.55","        561.85","        562.65","        561.79","    2808049","      15775.39","      46542","    1150169","         40.96"
"TATAMOTORS","EQ","13-Apr-2015","        562.65","        563.00","        563.90","        552.45","        556.15","        556.25","        555.97","    2889208","      16063.08","      87262","    1502212","         51.99"
"TATAMOTORS","EQ","15-Apr-2015","        556.25","        551.25","        551.25","        538.25","        539.95","        540.45","        544.39","    4118983","      22423.16","     137919","    2290131","         55.60"
"TATAMOTORS","EQ","16-Apr-2015","        540.45","        543.75","        551.25","        534.20","        538.40","        541.25","        542.92","    4027716","      21867.31","      89074","    1970791","         48.93"
"TATAMOTORS","EQ","17-Apr-2015","        541.25","        541.50","        544.80","        534.15","        534.15","        535.35","        539.53","    2728290","      14719.86","      73343","    1380458","         50.60"
"TATAMOTORS","EQ","20-Apr-2015","        535.35","        543.15","        543.15","        521.05","        536.10","        533.20","        529.93","    5011252","      26555.98","     136271","    2602955","         51.94"
"TATAMOTORS","EQ","21-Apr-2015","        533.20","        531.45","        538.00","        523.50","        527.40","        527.40","        531.50","    3243871","      17241.32","      75200","    1744855","         53.79"
"TATAMOTORS","EQ","22-Apr-2015","        527.40","        529.00","        529.70","        510.65","        525.25","        523.50","        520.98","    4311384","      22461.58","     109493","    2257726","         52.37"
"TATAMOTORS","EQ","23-Apr-2015","        523.50","        527.80","        527.80","        508.45","        511.75","        512.00","        516.58","    4961920","      25632.11","      91064","    2664723","         53.70"
"TATAMOTORS","EQ","24-Apr-2015","        512.00","        515.25","        520.00","        508.60","        517.30","        516.20","        515.74","    4302328","      22188.67","      62545","    2298324","         53.42"
"TATAMOTORS","EQ","27-Apr-2015","        516.20","        521.00","        523.00","        513.05","        517.50","        516.85","        519.04","    3082875","      16001.30","      65488","    1481071","         48.04"
"TATAMOTORS","EQ","28-Apr-2015","        516.85","        520.50","        533.80","        518.35","        525.90","        529.85","        526.87","    6417077","      33809.48","     124545","    3833500","         59.74"
"TATAMOTORS","EQ","29-Apr-2015","        529.85","        526.75","        528.00","        516.80","        521.55","        520.90","        520.99","    3685760","      19202.61","      56956","    2103716","         57.08"
"TATAMOTORS","EQ","30-Apr-2015","        520.90","        518.20","        520.80","        506.75","        509.50","        508.25","        512.53","   10009172","      51299.78","     103715","    5975537","         59.70"
"TATAMOTORS","EQ","04-May-2015","        508.25","        511.75","        516.00","        497.50","        508.20","        506.45","        504.09","    5849866","      29488.86","     113398","    3100471","         53.00"
"TATAMOTORS","EQ","05-May-2015","        506.45","        509.50","        515.70","        506.05","        511.00","        510.45","        511.16","    3398712","      17373.00","      52528","    1566873","         46.10"
"TATAMOTORS","EQ","06-May-2015","        510.45","        508.50","        508.50","        495.80","        500.00","        497.85","        500.86","    5925410","      29677.93","      80658","    3575825","         60.35"
"TATAMOTORS","EQ","07-May-2015","        497.85","        493.50","        503.00","        482.60","        491.05","        488.10","        494.16","    5504557","      27201.09","      70771","    2931057","         53.25"
"TATAMOTORS","EQ","08-May-2015","        488.10","        498.75","        515.90","        497.35","        513.00","        513.70","        510.19","    6229295","      31781.47","     101709","    3432059","         55.10"
"TATAMOTORS","EQ","11-May-2015","        513.70","        522.25","        530.95","        517.00","        528.55","        529.70","        525.60","    5520513","      29015.58","     143697","    3425687","         62.05"
"TATAMOTORS","EQ","12-May-2015","        529.70","        525.70","        525.70","        511.15","        514.10","        513.55","        515.48","    4569616","      23555.27","      81869","    2773263","         60.69"
"TATAMOTORS","EQ","13-May-2015","        513.55","        517.00","        525.55","        506.55","        519.20","        520.45","        517.04","    4442178","      22967.98","      87580","    2058405","         46.34"
"TATAMOTORS","EQ","14-May-2015","        520.45","        519.00","        519.00","        510.10","        516.45","        516.60","        513.90","    3587736","      18437.47","      91325","    1799392","         50.15"
"TATAMOTORS","EQ","15-May-2015","        516.60","        519.00","        524.50","        517.05","        520.40","        519.90","        520.58","    4038816","      21025.41","      76488","    2616501","         64.78"
"TATAMOTORS","EQ","18-May-2015","        519.90","        517.25","        524.40","        510.30","        520.00","        520.70","        516.03","    4363711","      22518.14","      74282","    2509455","         57.51"
"TATAMOTORS","EQ","19-May-2015","        520.70","        516.90","        518.75","        508.70","        509.75","        509.80","        513.56","    5500642","      28249.20","      93307","    3578617","         65.06"
"TATAMOTORS","EQ","20-May-2015","        509.80","        511.00","        513.85","        503.55","        506.00","        505.25","        507.55","    6385674","      32410.77","      96925","    4293884","         67.24"
"TATAMOTORS","EQ","21-May-2015","        505.25","        506.50","        512.50","        505.00","        511.00","        511.20","        510.49","    4708702","      24037.48","     140823","    3068481","         65.17"
"TATAMOTORS","EQ","22-May-2015","        511.20","        511.75","        516.95","        510.20","        514.50","        514.65","        514.49","    4744826","      24411.63","     127586","    3318364","         69.94"
"TATAMOTORS","EQ","25-May-2015","        514.65","        513.00","        514.00","        503.00","        505.00","        505.30","        508.17","    3080546","      15654.33","      38872","    1802933","         58.53"
"TATAMOTORS","EQ","26-May-2015","        505.30","        505.00","        506.00","        493.55","        499.00","        497.60","        497.70","    7389680","      36778.78","     113604","    3668382","         49.64"
"TATAMOTORS","EQ","27-May-2015","        497.60","        473.60","        474.95","        463.55","        472.75","        471.75","        470.73","   15936377","      75016.75","     182427","    8771140","         55.04"
"TATAMOTORS","EQ","28-May-2015","        471.75","        473.85","        487.45","        472.25","        482.55","        484.35","        482.00","   11792862","      56841.08","     153480","    6212942","         52.68"
"TATAMOTORS","EQ","29-May-2015","        484.35","        485.20","        490.25","        479.40","        483.70","        481.65","        484.07","    7892019","      38202.67","     109689","    5313102","         67.32"
"TATAMOTORS","EQ","01-Jun-2015","        481.65","        482.90","        482.90","        471.00","        473.00","        472.05","        474.36","    4610219","      21868.96","      88453","    2959293","         64.19"
"TATAMOTORS","EQ","02-Jun-2015","        472.05","        473.10","        478.40","        465.00","        465.60","        466.95","        469.97","    6237231","      29313.06","      78916","    3224002","         51.69"
"TATAMOTORS","EQ","03-Jun-2015","        466.95","        467.00","        468.75","        434.70","        458.50","        456.85","        451.02","    9702740","      43760.85","     137547","    5514510","         56.83"
"TATAMOTORS","EQ","04-Jun-2015","        456.85","        456.85","        458.45","        445.45","        451.70","        451.20","        449.06","    8001049","      35929.60","     101730","    5413768","         67.66"
"TATAMOTORS","EQ","05-Jun-2015","        451.20","        445.65","        449.55","        439.50","        442.05","        442.10","        443.35","   11195670","      49636.02","     113173","    7612351","         67.99"
"TATAMOTORS","EQ","08-Jun-2015","        442.10","        435.30","        438.00","        429.05","        435.10","        435.60","        433.21","    7072020","      30636.76","      87781","    3875051","         54.79"
"TATAMOTORS","EQ","09-Jun-2015","        435.60","        431.30","        443.80","        431.30","        440.40","        440.05","        438.65","    7741629","      33958.89","     108554","    5215404","         67.37"
"TATAMOTORS","EQ","10-Jun-2015","        440.05","        439.90","        449.40","        436.00","        445.90","        446.60","        445.39","    9716102","      43274.89","     138574","    6545653","         67.37"
"TATAMOTORS","EQ","11-Jun-2015","        446.60","        446.50","        446.80","        428.10","        430.55","        430.20","        434.26","    9668308","      41985.85","     109335","    6119015","         63.29"
"TATAMOTORS","EQ","12-Jun-2015","        430.20","        426.55","        429.50","        417.25","        422.95","        421.80","        422.06","   10871836","      45885.40","     110127","    7093653","         65.25"
"TATAMOTORS","EQ","15-Jun-2015","        421.80","        426.00","        427.95","        418.10","        425.50","        426.35","        423.79","    7287773","      30884.96","      91235","    4092898","         56.16"
"TATAMOTORS","EQ","16-Jun-2015","        426.35","        427.05","        435.80","        421.25","        433.00","        432.80","        426.89","    6192559","      26435.30","      62594","    3772136","         60.91"
"TATAMOTORS","EQ","17-Jun-2015","        432.80","        436.00","        437.40","        426.50","        433.55","        433.70","        432.41","    7034146","      30416.67","      74938","    4684030","         66.59"
"TATAMOTORS","EQ","18-Jun-2015","        433.70","        434.90","        447.50","        431.40","        443.50","        445.45","        442.67","    8198142","      36290.65","     164055","    5003899","         61.04"
"TATAMOTORS","EQ","19-Jun-2015","        445.45","        444.80","        444.80","        431.60","        433.70","        433.05","        436.08","    6891821","      30053.80","     154121","    4249206","         61.66"
"TATAMOTORS","EQ","22-Jun-2015","        433.05","        435.00","        444.00","        435.00","        439.25","        440.50","        440.99","    5281379","      23290.18","      82457","    3127732","         59.22"
"TATAMOTORS","EQ","23-Jun-2015","        440.50","        441.00","        447.40","        435.00","        436.65","        436.00","        439.82","    5762483","      25344.42","      95300","    3251775","         56.43"
"TATAMOTORS","EQ","24-Jun-2015","        436.00","        438.70","        438.70","        428.10","        430.00","        430.60","        433.59","    7081258","      30703.86","     112784","    5036222","         71.12"
"TATAMOTORS","EQ","25-Jun-2015","        430.60","        433.00","        436.10","        429.50","        433.55","        432.40","        433.01","    7745469","      33538.32","      87972","    5361762","         69.22"
"TATAMOTORS","EQ","26-Jun-2015","        432.40","        435.00","        438.80","        431.20","        437.00","        437.60","        435.34","    5009173","      21807.13","      77606","    3025617","         60.40"
"TATAMOTORS","EQ","29-Jun-2015","        437.60","        428.80","        432.50","        418.15","        430.00","        428.25","        426.44","    7143044","      30461.11","      81362","    4988804","         69.84"
"TATAMOTORS","EQ","30-Jun-2015","        428.25","        428.00","        436.25","        422.70","        433.70","        434.15","        427.78","    6387312","      27323.50","      90025","    4165949","         65.22"
"TATAMOTORS","EQ","01-Jul-2015","        434.15","        436.75","        447.40","        431.40","        446.00","        444.50","        440.43","    6054910","      26667.89","      75239","    2967670","         49.01"
"TATAMOTORS","EQ","02-Jul-2015","        444.50","        445.00","        445.00","        435.00","        435.35","        436.40","        439.62","    4641851","      20406.55","      95054","    2360514","         50.85"
"TATAMOTORS","EQ","03-Jul-2015","        436.40","        436.00","        436.00","        430.45","        433.55","        433.15","        433.08","    3709457","      16064.83","      58710","    2265339","         61.07"
"TATAMOTORS","EQ","06-Jul-2015","        433.15","        428.00","        433.50","        420.70","        429.80","        431.10","        427.08","    4600687","      19648.77","      59799","    2134593","         46.40"
"TATAMOTORS","EQ","07-Jul-2015","        431.10","        434.35","        435.70","        428.00","        431.35","        431.55","        431.54","    5667938","      24459.57","      73760","    2826426","         49.87"
"TATAMOTORS","EQ","08-Jul-2015","        431.55","        424.00","        424.00","        400.00","        404.30","        404.95","        408.40","   15521757","      63390.76","     254699","    9401401","         60.57"
"TATAMOTORS","EQ","09-Jul-2015","        404.95","        400.15","        403.35","        394.25","        398.25","        397.80","        397.62","    9351601","      37183.62","     127925","    5189543","         55.49"
"TATAMOTORS","EQ","10-Jul-2015","        397.80","        400.25","        405.80","        398.05","        401.15","        401.90","        401.50","   13661389","      54850.73","     154027","    9702828","         71.02"
"TATAMOTORS","EQ","13-Jul-2015","        401.90","        406.70","        406.70","        397.05","        402.35","        402.10","        402.30","    8047912","      32376.50","     105800","    4643499","         57.70"
"TATAMOTORS","EQ","14-Jul-2015","        402.10","        403.50","        403.50","        380.95","        385.05","        385.95","        390.76","   11333562","      44287.52","     171725","    5994020","         52.89"
"TATAMOTORS","EQ","15-Jul-2015","        385.95","        387.00","        395.00","        382.60","        394.10","        394.30","        390.22","   15561638","      60725.00","     140415","   10374692","         66.67"
"TATAMOTORS","EQ","16-Jul-2015","        394.30","        394.90","        398.65","        392.45","        394.50","        395.25","        395.32","    5199913","      20556.24","      95705","    2943796","         56.61"
"TATAMOTORS","EQ","17-Jul-2015","        395.25","        395.95","        403.25","        390.40","        397.00","        398.05","        396.60","    6590110","      26136.46","     110324","    3189874","         48.40"
"TATAMOTORS","EQ","20-Jul-2015","        398.05","        399.00","        401.90","        389.30","        390.55","        390.75","        393.38","    5777196","      22726.30","     102991","    3432670","         59.42"
